,x,y,geometry,trans_mode
399511,-89.8443,44.4145,POINT (-89.8443 44.4145),rail
399571,-89.8289,44.4023,POINT (-89.8289 44.4023),rail
399467,-89.8519,44.4052,POINT (-89.8519 44.4052),rail
402513,-89.2881,44.4504,POINT (-89.2881 44.4504),rail
400002,-89.7544,45.5357,POINT (-89.7544 45.5357),rail
401066,-89.6036,44.9152,POINT (-89.6036 44.9152),rail
380984,-93.3542,47.3175,POINT (-93.35420000000001 47.3175),rail
383469,-92.9713,47.4789,POINT (-92.9713 47.4789),rail
397029,-90.096,42.5032,POINT (-90.096 42.5032),rail
375959,-94.4609,44.3221,POINT (-94.4609 44.3221),rail
380868,-93.375,45.0258,POINT (-93.375 45.0258),rail
380867,-93.3751,45.0371,POINT (-93.3751 45.0371),rail
412081,-87.9085,43.0202,POINT (-87.9085 43.0202),rail
389595,-91.2434,43.836,POINT (-91.24339999999999 43.836),rail
405635,-88.7347,43.1929,POINT (-88.7347 43.1929),rail
410508,-88.0633,43.1899,POINT (-88.0633 43.1899),rail
400177,-89.7069,43.8868,POINT (-89.7069 43.8868),rail
362960,-96.6017,47.7979,POINT (-96.60169999999999 47.7979),rail
405595,-88.7377,44.3976,POINT (-88.7377 44.3976),rail
412539,-87.8689,42.9645,POINT (-87.8689 42.9645),rail
412411,-87.8833,42.9804,POINT (-87.88330000000001 42.9804),rail
389687,-91.2321,43.8739,POINT (-91.2321 43.8739),rail
408145,-88.4259,45.645,POINT (-88.4259 45.645),rail
389700,-91.2303,43.8472,POINT (-91.2303 43.8472),rail
410485,-88.064,43.1152,POINT (-88.06399999999999 43.1152),rail
408436,-88.3838,43.4769,POINT (-88.38379999999999 43.4769),rail
410122,-88.1136,42.6822,POINT (-88.11360000000001 42.6822),rail
387897,-91.7309,44.8894,POINT (-91.73090000000001 44.8894),rail
401916,-89.4367,43.538,POINT (-89.4367 43.538),rail
401888,-89.4446,43.5445,POINT (-89.44459999999999 43.5445),rail
411400,-87.9851,43.233,POINT (-87.9851 43.233),rail
412290,-87.8952,42.2794,POINT (-87.8952 42.2794),rail
412570,-87.8655,41.9362,POINT (-87.8655 41.9362),rail
412692,-87.8579,41.9315,POINT (-87.8579 41.9315),rail
37,-87.8703,41.9627,POINT (-87.8703 41.9627),intermodal
411626,-87.9553,42.1974,POINT (-87.95529999999999 42.1974),rail
408838,-88.3157,42.2409,POINT (-88.31570000000001 42.2409),rail
410215,-88.0936,41.9868,POINT (-88.0936 41.9868),rail
412686,-87.8581,41.9323,POINT (-87.85809999999999 41.9323),rail
411784,-87.9391,41.9891,POINT (-87.9391 41.9891),rail
405446,-88.756,42.1006,POINT (-88.756 42.1006),rail
411787,-87.939,41.9912,POINT (-87.93899999999999 41.9912),rail
409359,-88.2352,42.0029,POINT (-88.23520000000001 42.0029),rail
415872,-87.5316,45.6882,POINT (-87.5316 45.6882),rail
381524,-93.2904,47.3195,POINT (-93.29040000000001 47.3195),rail
382140,-93.2327,44.2683,POINT (-93.23269999999999 44.2683),rail
394470,-90.2591,42.1921,POINT (-90.2591 42.1921),rail
383409,-92.9997,44.8678,POINT (-92.9997 44.8678),rail
383412,-92.9993,44.8667,POINT (-92.99930000000001 44.8667),rail
373409,-94.7842,46.3527,POINT (-94.7842 46.3527),rail
382903,-93.1093,45.0531,POINT (-93.1093 45.0531),rail
381542,-93.2884,45.0329,POINT (-93.2884 45.0329),rail
381119,-93.333,45.0456,POINT (-93.333 45.0456),rail
365661,-96.0048,47.6669,POINT (-96.0048 47.6669),rail
365667,-96.003,47.6648,POINT (-96.003 47.6648),rail
384955,-92.5335,47.6383,POINT (-92.5335 47.6383),rail
388355,-91.606,45.9871,POINT (-91.60599999999999 45.9871),rail
407771,-88.4718,44.1883,POINT (-88.4718 44.1883),rail
407785,-88.4701,44.186,POINT (-88.4701 44.186),rail
393567,-90.3831,44.027,POINT (-90.3831 44.027),rail
386531,-92.1089,46.661,POINT (-92.10890000000001 46.661),rail
393282,-90.4121,45.7003,POINT (-90.4121 45.7003),rail
387533,-91.8831,45.8302,POINT (-91.8831 45.8302),rail
407765,-88.4721,44.2134,POINT (-88.4721 44.2134),rail
390390,-91.1068,45.4631,POINT (-91.10680000000001 45.4631),rail
412269,-87.8963,43.006,POINT (-87.8963 43.006),rail
382896,-93.1111,45.0486,POINT (-93.11109999999999 45.0486),rail
390890,-90.9877,42.7113,POINT (-90.9877 42.7113),rail
382974,-93.0895,44.9633,POINT (-93.0895 44.9633),rail
368034,-95.6216,44.6937,POINT (-95.6216 44.6937),rail
368042,-95.6196,44.6962,POINT (-95.61960000000001 44.6962),rail
382980,-93.0878,44.9451,POINT (-93.0878 44.9451),rail
377611,-94.1511,45.5714,POINT (-94.1511 45.5714),rail
368025,-95.6225,44.6961,POINT (-95.6225 44.6961),rail
383535,-92.9561,43.604,POINT (-92.95610000000001 43.604),rail
388318,-91.6243,47.3599,POINT (-91.62430000000001 47.3599),rail
373358,-94.7907,46.3535,POINT (-94.7907 46.3535),rail
373398,-94.7862,46.3506,POINT (-94.78619999999999 46.3506),rail
387480,-91.8962,47.6548,POINT (-91.89619999999999 47.6548),rail
383367,-93.009,47.4091,POINT (-93.009 47.4091),rail
381665,-93.2821,45.0294,POINT (-93.2821 45.0294),rail
383517,-92.9607,43.6768,POINT (-92.9607 43.6768),rail
379770,-93.6217,44.7627,POINT (-93.6217 44.7627),rail
379861,-93.5981,44.7408,POINT (-93.5981 44.7408),rail
379663,-93.6456,47.2692,POINT (-93.6456 47.2692),rail
404617,-88.9092,45.6531,POINT (-88.9092 45.6531),rail
390395,-91.1052,45.4646,POINT (-91.1052 45.4646),rail
411290,-88.0005,44.5211,POINT (-88.0005 44.5211),rail
393948,-90.3414,45.1299,POINT (-90.34139999999999 45.1299),rail
386453,-92.1133,46.7077,POINT (-92.1133 46.7077),rail
361727,-96.7565,46.8752,POINT (-96.7565 46.8752),rail
386233,-92.1623,47.5406,POINT (-92.1623 47.5406),rail
386234,-92.1614,47.54,POINT (-92.1614 47.54),rail
412930,-87.8319,44.3553,POINT (-87.8319 44.3553),rail
388034,-91.6868,47.0595,POINT (-91.68680000000001 47.0595),rail
409646,-88.1952,43.0759,POINT (-88.1952 43.0759),rail
401332,-89.5655,44.4875,POINT (-89.5655 44.4875),rail
401446,-89.549,44.46,POINT (-89.54900000000001 44.46),rail
401461,-89.5452,44.4571,POINT (-89.54519999999999 44.4571),rail
394070,-90.3171,44.3534,POINT (-90.3171 44.3534),rail
392028,-90.6433,42.4912,POINT (-90.6433 42.4912),rail
378300,-94.0047,44.1675,POINT (-94.0047 44.1675),rail
378247,-94.0163,44.1633,POINT (-94.0163 44.1633),rail
368027,-95.6224,46.5064,POINT (-95.6224 46.5064),rail
409801,-88.1665,44.1489,POINT (-88.1665 44.1489),rail
402178,-89.3674,43.7446,POINT (-89.3674 43.7446),rail
395812,-90.1717,43.8726,POINT (-90.1717 43.8726),rail
407794,-88.4679,44.1878,POINT (-88.4679 44.1878),rail
386451,-92.1134,46.6398,POINT (-92.1134 46.6398),rail
361842,-96.747,46.8181,POINT (-96.747 46.8181),rail
422621,-86.6472,46.4085,POINT (-86.6472 46.4085),rail
418381,-87.2441,46.1791,POINT (-87.2441 46.1791),rail
413470,-87.7467,41.962,POINT (-87.7467 41.962),rail
385326,-92.4165,47.2449,POINT (-92.4165 47.2449),rail
384916,-92.552,47.365,POINT (-92.55200000000001 47.365),rail
409562,-88.2046,43.1929,POINT (-88.2046 43.1929),rail
401343,-89.5642,44.5129,POINT (-89.5642 44.5129),rail
379683,-93.6399,47.2702,POINT (-93.6399 47.2702),rail
386429,-92.1141,46.6846,POINT (-92.11409999999999 46.6846),rail
408899,-88.3074,42.7868,POINT (-88.3074 42.7868),rail
365527,-96.0214,45.2065,POINT (-96.0214 45.2065),rail
383374,-93.0072,44.8892,POINT (-93.0072 44.8892),rail
412231,-87.8981,42.5718,POINT (-87.8981 42.5718),rail
379662,-93.6458,47.2726,POINT (-93.64579999999999 47.2726),rail
407920,-88.456,44.1901,POINT (-88.456 44.1901),rail
407769,-88.4718,43.8028,POINT (-88.4718 43.8028),rail
407762,-88.4727,43.8034,POINT (-88.4727 43.8034),rail
406981,-88.56,44.0538,POINT (-88.56 44.0538),rail
387670,-91.8468,45.4032,POINT (-91.8468 45.4032),rail
402197,-89.3628,43.0987,POINT (-89.36279999999999 43.0987),rail
402202,-89.3626,43.0995,POINT (-89.3626 43.0995),rail
402397,-89.3109,43.4932,POINT (-89.3109 43.4932),rail
415612,-87.5573,45.5859,POINT (-87.5573 45.5859),rail
415885,-87.5301,45.6788,POINT (-87.5301 45.6788),rail
415891,-87.5295,45.6847,POINT (-87.5295 45.6847),rail
423567,-86.3652,46.3463,POINT (-86.3652 46.3463),rail
411390,-87.9868,42.2453,POINT (-87.9868 42.2453),rail
387024,-92.0001,46.649,POINT (-92.0001 46.649),rail
412137,-87.905,42.5721,POINT (-87.905 42.5721),rail
402218,-89.3601,43.1039,POINT (-89.3601 43.1039),rail
401346,-89.5636,44.4902,POINT (-89.56359999999999 44.4902),rail
388339,-91.6143,45.989,POINT (-91.6143 45.989),rail
413045,-87.8209,42.3835,POINT (-87.82089999999999 42.3835),rail
413079,-87.8158,42.3844,POINT (-87.8158 42.3844),rail
384760,-92.6005,47.4238,POINT (-92.6005 47.4238),rail
383432,-92.9936,44.8422,POINT (-92.9936 44.8422),rail
383415,-92.999,44.8646,POINT (-92.999 44.8646),rail
413736,-87.7229,41.9151,POINT (-87.7229 41.9151),rail
410467,-88.0648,42.384,POINT (-88.06480000000001 42.384),rail
411376,-87.9884,42.2543,POINT (-87.9884 42.2543),rail
411955,-87.9162,42.054,POINT (-87.9162 42.054),rail
413146,-87.8034,42.4461,POINT (-87.8034 42.4461),rail
403537,-89.0882,42.2537,POINT (-89.0882 42.2537),rail
403627,-89.0683,42.2545,POINT (-89.06829999999999 42.2545),rail
410773,-88.0458,42.2347,POINT (-88.0458 42.2347),rail
410304,-88.079,42.205,POINT (-88.07899999999999 42.205),rail
410086,-88.1168,41.9376,POINT (-88.1168 41.9376),rail
413022,-87.8246,42.1192,POINT (-87.8246 42.1192),rail
404862,-88.8718,42.2394,POINT (-88.87179999999999 42.2394),rail
404881,-88.8677,42.2396,POINT (-88.8677 42.2396),rail
411163,-88.013,44.5243,POINT (-88.01300000000001 44.5243),rail
411391,-87.9868,44.4818,POINT (-87.9868 44.4818),rail
381032,-93.3437,44.7796,POINT (-93.3437 44.7796),rail
380513,-93.4563,44.8918,POINT (-93.4563 44.8918),rail
419214,-87.0694,45.7735,POINT (-87.0694 45.7735),rail
415464,-87.5706,46.5125,POINT (-87.5706 46.5125),rail
412707,-87.8561,41.9338,POINT (-87.8561 41.9338),rail
366458,-95.9077,45.5786,POINT (-95.90770000000001 45.5786),rail
384004,-92.7868,46.672,POINT (-92.7868 46.672),rail
386216,-92.1685,46.7285,POINT (-92.16849999999999 46.7285),rail
386285,-92.1454,47.5329,POINT (-92.1454 47.5329),rail
385650,-92.3024,47.5165,POINT (-92.30240000000001 47.5165),rail
395958,-90.1637,43.8697,POINT (-90.16370000000001 43.8697),rail
381915,-93.2624,45.0276,POINT (-93.2624 45.0276),rail
381932,-93.2606,45.0303,POINT (-93.2606 45.0303),rail
379070,-93.8056,43.5577,POINT (-93.8056 43.5577),rail
380983,-93.3542,44.9738,POINT (-93.35420000000001 44.9738),rail
382651,-93.1852,44.9687,POINT (-93.18519999999999 44.9687),rail
380644,-93.4223,47.2946,POINT (-93.42230000000001 47.2946),rail
380485,-93.4614,47.2874,POINT (-93.4614 47.2874),rail
387858,-91.7488,47.2374,POINT (-91.7488 47.2374),rail
383280,-93.0302,44.8953,POINT (-93.03019999999999 44.8953),rail
383209,-93.0475,44.9421,POINT (-93.0475 44.9421),rail
383255,-93.0404,44.9393,POINT (-93.04040000000001 44.9393),rail
386218,-92.1676,46.7285,POINT (-92.16759999999999 46.7285),rail
402955,-89.1869,43.4355,POINT (-89.18689999999999 43.4355),rail
411354,-87.9928,45.6319,POINT (-87.9928 45.6319),rail
411380,-87.9879,45.6367,POINT (-87.9879 45.6367),rail
406630,-88.6154,44.7911,POINT (-88.61539999999999 44.7911),rail
406570,-88.6265,44.7736,POINT (-88.62649999999999 44.7736),rail
391448,-90.82,46.4414,POINT (-90.81999999999999 46.4414),rail
399186,-89.892,44.3402,POINT (-89.892 44.3402),rail
386845,-92.0678,44.4281,POINT (-92.06780000000001 44.4281),rail
366375,-95.9144,46.837,POINT (-95.9144 46.837),rail
385743,-92.2746,46.7716,POINT (-92.27460000000001 46.7716),rail
361813,-96.7494,46.8723,POINT (-96.74939999999999 46.8723),rail
361746,-96.7542,46.8744,POINT (-96.7542 46.8744),rail
363819,-96.4428,46.8713,POINT (-96.44280000000001 46.8713),rail
388108,-91.6751,44.0588,POINT (-91.6751 44.0588),rail
359124,-97.1739,48.9897,POINT (-97.1739 48.9897),rail
362761,-96.6274,47.7505,POINT (-96.62739999999999 47.7505),rail
383686,-92.8893,47.445,POINT (-92.88930000000001 47.445),rail
385502,-92.3596,47.1319,POINT (-92.3596 47.1319),rail
381891,-93.2653,45.0293,POINT (-93.2653 45.0293),rail
386906,-92.0516,44.3845,POINT (-92.05159999999999 44.3845),rail
386931,-92.0429,44.3778,POINT (-92.0429 44.3778),rail
383319,-93.022,44.9264,POINT (-93.02200000000001 44.9264),rail
413353,-87.7634,43.7415,POINT (-87.7634 43.7415),rail
386863,-92.0645,46.6397,POINT (-92.0645 46.6397),rail
386526,-92.109,46.6385,POINT (-92.10899999999999 46.6385),rail
399105,-89.9,43.7124,POINT (-89.90000000000001 43.7124),rail
405782,-88.7195,43.1847,POINT (-88.7195 43.1847),rail
405651,-88.7317,43.1894,POINT (-88.7317 43.1894),rail
386370,-92.1229,46.5993,POINT (-92.1229 46.5993),rail
399561,-89.8306,44.4003,POINT (-89.8306 44.4003),rail
411018,-88.0247,44.5099,POINT (-88.0247 44.5099),rail
407890,-88.4586,44.199,POINT (-88.4586 44.199),rail
409101,-88.2754,43.3159,POINT (-88.2754 43.3159),rail
366844,-95.8563,46.8243,POINT (-95.8563 46.8243),rail
381063,-93.3397,48.5681,POINT (-93.33969999999999 48.5681),rail
384855,-92.5719,47.4794,POINT (-92.5719 47.4794),rail
387541,-91.8817,47.6686,POINT (-91.8817 47.6686),rail
369214,-95.3772,45.6671,POINT (-95.3772 45.6671),rail
365581,-96.0134,44.2677,POINT (-96.0134 44.2677),rail
365644,-96.0096,44.2673,POINT (-96.00960000000001 44.2673),rail
383364,-93.0108,44.7559,POINT (-93.0108 44.7559),rail
379717,-93.6342,45.0528,POINT (-93.63420000000001 45.0528),rail
396046,-90.1581,44.6572,POINT (-90.1581 44.6572),rail
403621,-89.0697,42.4622,POINT (-89.0697 42.4622),rail
403375,-89.1042,42.2739,POINT (-89.10420000000001 42.2739),rail
411811,-87.9338,41.9558,POINT (-87.93380000000001 41.9558),rail
383481,-92.9667,43.7105,POINT (-92.9667 43.7105),rail
383487,-92.9644,43.7132,POINT (-92.9644 43.7132),rail
383716,-92.8838,46.6806,POINT (-92.88379999999999 46.6806),rail
382350,-93.2101,48.4109,POINT (-93.2101 48.4109),rail
422618,-86.6485,46.404,POINT (-86.6485 46.404),rail
388040,-91.6859,45.9496,POINT (-91.6859 45.9496),rail
408350,-88.4005,43.5023,POINT (-88.40049999999999 43.5023),rail
376410,-94.3717,44.2563,POINT (-94.3717 44.2563),rail
412888,-87.8371,42.3287,POINT (-87.83710000000001 42.3287),rail
387014,-92.0047,44.4166,POINT (-92.0047 44.4166),rail
389709,-91.23,43.8463,POINT (-91.23 43.8463),rail
399445,-89.8545,43.9628,POINT (-89.8545 43.9628),rail
362791,-96.6221,47.7582,POINT (-96.6221 47.7582),rail
382709,-93.1719,45.7194,POINT (-93.17189999999999 45.7194),rail
382575,-93.1938,45.6369,POINT (-93.1938 45.6369),rail
411189,-88.0088,43.049,POINT (-88.00879999999999 43.049),rail
380119,-93.5785,45.3105,POINT (-93.57850000000001 45.3105),rail
413676,-87.7282,41.9254,POINT (-87.7282 41.9254),rail
413533,-87.7402,41.9485,POINT (-87.7402 41.9485),rail
412002,-87.9137,42.036,POINT (-87.91370000000001 42.036),rail
403337,-89.1112,42.2683,POINT (-89.1112 42.2683),rail
403399,-89.1012,42.2684,POINT (-89.10120000000001 42.2684),rail
408834,-88.3162,42.2337,POINT (-88.31619999999999 42.2337),rail
415375,-87.5813,46.4884,POINT (-87.5813 46.4884),rail
425573,-85.9448,46.3444,POINT (-85.9448 46.3444),rail
366504,-95.9023,45.5731,POINT (-95.9023 45.5731),rail
420550,-86.8713,45.9002,POINT (-86.87130000000001 45.9002),rail
420683,-86.865,45.8994,POINT (-86.86499999999999 45.8994),rail
381900,-93.2633,45.0208,POINT (-93.2633 45.0208),rail
383345,-93.0172,44.843,POINT (-93.0172 44.843),rail
366918,-95.8471,46.8205,POINT (-95.8471 46.8205),rail
385296,-92.4223,47.4933,POINT (-92.42230000000001 47.4933),rail
381909,-93.2626,45.0193,POINT (-93.26260000000001 45.0193),rail
381902,-93.2632,45.0201,POINT (-93.2632 45.0201),rail
379903,-93.5936,44.737,POINT (-93.5936 44.737),rail
382065,-93.2456,45.4938,POINT (-93.2456 45.4938),rail
384541,-92.6483,44.0316,POINT (-92.64830000000001 44.0316),rail
383387,-93.0041,47.407,POINT (-93.00409999999999 47.407),rail
371835,-95.0577,45.1219,POINT (-95.0577 45.1219),rail
377405,-94.1915,46.3574,POINT (-94.1915 46.3574),rail
384835,-92.5775,46.9752,POINT (-92.5775 46.9752),rail
362812,-96.617,47.7511,POINT (-96.617 47.7511),rail
378429,-93.9766,44.2707,POINT (-93.9766 44.2707),rail
379900,-93.5939,44.7382,POINT (-93.5939 44.7382),rail
382205,-93.2254,44.9813,POINT (-93.22539999999999 44.9813),rail
384762,-92.5997,47.3515,POINT (-92.5997 47.3515),rail
390239,-91.1508,44.947,POINT (-91.1508 44.947),rail
400133,-89.7167,44.6849,POINT (-89.7167 44.6849),rail
400577,-89.655,45.0348,POINT (-89.655 45.0348),rail
384640,-92.6293,45.3694,POINT (-92.6293 45.3694),rail
394117,-90.3035,44.7614,POINT (-90.3035 44.7614),rail
394145,-90.2967,44.7563,POINT (-90.2967 44.7563),rail
400985,-89.6137,44.9442,POINT (-89.61369999999999 44.9442),rail
411680,-87.9522,43.064,POINT (-87.9522 43.064),rail
411533,-87.9681,43.1794,POINT (-87.96810000000001 43.1794),rail
390281,-91.1353,43.0178,POINT (-91.1353 43.0178),rail
390291,-91.1316,43.0142,POINT (-91.13160000000001 43.0142),rail
386520,-92.1094,46.7286,POINT (-92.10939999999999 46.7286),rail
386456,-92.1133,46.7067,POINT (-92.1133 46.7067),rail
410844,-88.0407,43.9128,POINT (-88.0407 43.9128),rail
404477,-88.9288,44.4555,POINT (-88.9288 44.4555),rail
408935,-88.3016,42.236,POINT (-88.30159999999999 42.236),rail
386356,-92.1279,46.5997,POINT (-92.1279 46.5997),rail
386748,-92.0825,46.7044,POINT (-92.0825 46.7044),rail
412956,-87.829,42.1038,POINT (-87.82899999999999 42.1038),rail
366502,-95.9024,44.8495,POINT (-95.9024 44.8495),rail
365413,-96.0525,44.9296,POINT (-96.05249999999999 44.9296),rail
364436,-96.3206,46.8654,POINT (-96.3206 46.8654),rail
414944,-87.6166,45.13,POINT (-87.61660000000001 45.13),rail
419489,-87.0253,45.8529,POINT (-87.0253 45.8529),rail
419216,-87.0688,45.7979,POINT (-87.0688 45.7979),rail
382885,-93.1156,44.9651,POINT (-93.1156 44.9651),rail
382834,-93.1317,44.9661,POINT (-93.1317 44.9661),rail
394057,-90.3203,44.9468,POINT (-90.3203 44.9468),rail
399205,-89.8895,44.3378,POINT (-89.8895 44.3378),rail
382104,-93.2396,44.6343,POINT (-93.2396 44.6343),rail
399816,-89.7878,44.4031,POINT (-89.7878 44.4031),rail
390955,-90.9611,44.5988,POINT (-90.9611 44.5988),rail
405275,-88.7897,43.0372,POINT (-88.7897 43.0372),rail
61,-92.1032,46.7553,POINT (-92.1032 46.7553),intermodal
412244,-87.8978,42.5584,POINT (-87.8978 42.5584),rail
409158,-88.2665,44.2888,POINT (-88.26649999999999 44.2888),rail
409705,-88.1813,45.6535,POINT (-88.18129999999999 45.6535),rail
404353,-88.9453,43.3336,POINT (-88.9453 43.3336),rail
401085,-89.6008,44.9334,POINT (-89.60080000000001 44.9334),rail
409214,-88.2606,44.2814,POINT (-88.2606 44.2814),rail
414128,-87.6834,44.0743,POINT (-87.68340000000001 44.0743),rail
376753,-94.3317,46.0734,POINT (-94.3317 46.0734),rail
401610,-89.5192,44.4571,POINT (-89.5192 44.4571),rail
412241,-87.8978,42.5531,POINT (-87.8978 42.5531),rail
